L: x=0.552 y=0.671 | R: x=0.372 y=0.641 | RAW: x=0.462 y=0.656 | NORM: x=0.373 y=1.000
L: x=0.555 y=0.648 | R: x=0.404 y=0.644 | RAW: x=0.479 y=0.646 | NORM: x=0.431 y=0.986
L: x=0.533 y=0.573 | R: x=0.449 y=0.558 | RAW: x=0.491 y=0.566 | NORM: x=0.470 y=0.719
L: x=0.594 y=0.523 | R: x=0.513 y=0.517 | RAW: x=0.554 y=0.520 | NORM: x=0.680 y=0.566
L: x=0.603 y=0.566 | R: x=0.514 y=0.556 | RAW: x=0.558 y=0.561 | NORM: x=0.694 y=0.702
L: x=0.492 y=0.571 | R: x=0.391 y=0.557 | RAW: x=0.442 y=0.564 | NORM: x=0.306 y=0.713
L: x=0.543 y=0.520 | R: x=0.452 y=0.510 | RAW: x=0.497 y=0.515 | NORM: x=0.491 y=0.551
L: x=0.520 y=0.480 | R: x=0.434 y=0.467 | RAW: x=0.477 y=0.473 | NORM: x=0.424 y=0.412
L: x=0.538 y=0.530 | R: x=0.434 y=0.518 | RAW: x=0.486 y=0.524 | NORM: x=0.454 y=0.579
L: x=0.533 y=0.571 | R: x=0.419 y=0.576 | RAW: x=0.476 y=0.574 | NORM: x=0.422 y=0.745
L: x=0.528 y=0.537 | R: x=0.426 y=0.529 | RAW: x=0.477 y=0.533 | NORM: x=0.424 y=0.610
L: x=0.527 y=0.465 | R: x=0.479 y=0.469 | RAW: x=0.503 y=0.467 | NORM: x=0.510 y=0.390
L: x=0.565 y=0.574 | R: x=0.464 y=0.567 | RAW: x=0.514 y=0.571 | NORM: x=0.548 y=0.735
L: x=0.545 y=0.511 | R: x=0.480 y=0.506 | RAW: x=0.512 y=0.508 | NORM: x=0.541 y=0.528
L: x=0.564 y=0.936 | R: x=0.504 y=0.864 | RAW: x=0.534 y=0.900 | NORM: x=0.613 y=1.000
L: x=0.574 y=0.634 | R: x=0.461 y=0.618 | RAW: x=0.517 y=0.626 | NORM: x=0.558 y=0.920
L: x=0.573 y=0.656 | R: x=0.448 y=0.636 | RAW: x=0.510 y=0.646 | NORM: x=0.534 y=0.987
L: x=0.571 y=0.685 | R: x=0.444 y=0.662 | RAW: x=0.507 y=0.674 | NORM: x=0.525 y=1.000
L: x=0.565 y=0.610 | R: x=0.454 y=0.601 | RAW: x=0.510 y=0.605 | NORM: x=0.532 y=0.852
L: x=0.539 y=0.649 | R: x=0.416 y=0.631 | RAW: x=0.477 y=0.640 | NORM: x=0.424 y=0.967
L: x=0.564 y=0.652 | R: x=0.430 y=0.636 | RAW: x=0.497 y=0.644 | NORM: x=0.490 y=0.979
L: x=0.528 y=0.499 | R: x=0.460 y=0.493 | RAW: x=0.494 y=0.496 | NORM: x=0.480 y=0.486
L: x=0.562 y=0.497 | R: x=0.498 y=0.491 | RAW: x=0.530 y=0.494 | NORM: x=0.600 y=0.479
L: x=0.537 y=0.524 | R: x=0.470 y=0.516 | RAW: x=0.504 y=0.520 | NORM: x=0.512 y=0.566
L: x=0.559 y=0.523 | R: x=0.491 y=0.515 | RAW: x=0.525 y=0.519 | NORM: x=0.583 y=0.562
L: x=0.460 y=0.491 | R: x=0.404 y=0.490 | RAW: x=0.432 y=0.491 | NORM: x=0.274 y=0.469
L: x=0.481 y=0.467 | R: x=0.438 y=0.461 | RAW: x=0.459 y=0.464 | NORM: x=0.365 y=0.380
L: x=0.517 y=0.590 | R: x=0.424 y=0.567 | RAW: x=0.471 y=0.579 | NORM: x=0.403 y=0.762
L: x=0.507 y=0.539 | R: x=0.437 y=0.516 | RAW: x=0.472 y=0.528 | NORM: x=0.406 y=0.592
